scene_id,subtitle_text,speech_rate_wps,topic,grammar_tags,vocab_level_hint,noise_level,difficulty_label,rationale
scene_001,"Hi, my name is Anna.",2.1,"greeting,self-introduction","be,present_simple",A1,low,easy,"Cau rat ngan, tu vung co ban, cau truc gioi thieu quen thuoc."
scene_002,"I need some help with my homework.",2.4,"school,help","need,present_simple",A1,low,easy,"Tu thong dung, y nghia ro rang, ngu phap don gian."
scene_003,"Where are you going after school?",2.7,"school,daily-life","be,present_continuous",A1,low,easy,"Cau hoi thong dung, do dai ngan, de hieu voi nguoi moi."
scene_004,"She goes to the library every weekend.",2.3,"study,habit","present_simple",A1,low,easy,"Cau khang dinh co ban, tu vung quen thuoc."
scene_005,"Can you open the window, please?",2.0,"daily-life,request","modal_can",A1,low,easy,"Mau cau xin phep quen thuoc, rat phu hop beginner."
scene_006,"We were waiting for the bus when it started raining.",2.8,"travel,daily-life","past_continuous,past_simple",A2,low,medium,"Co hai hanh dong trong qua khu, ngu phap phuc tap hon easy."
scene_007,"I have never seen anything like this before.",2.9,"emotion,experience","present_perfect",A2,low,medium,"Co present perfect va cum tu truu tuong hon."
scene_008,"If you study a little every day, you will improve quickly.",2.6,"study,motivation","first_conditional",A2,low,medium,"Co cau dieu kien loai 1, van de nhung da phuc tap hon."
scene_009,"He said he might be late because the traffic was terrible.",3.0,"travel,excuse","reported_speech,modal,past_simple",B1,medium,medium,"Co menh de phu va reported speech co ban."
scene_010,"Although she was nervous, she delivered the presentation well.",2.8,"school,presentation","past_simple,subordinate_clause",B1,medium,medium,"Co lien tu phuc va hai menh de."
scene_011,"Could you let me know whether the documents were approved?",3.1,"work,request","modal,reported_question,passive",B1,medium,medium,"Cau lich su kem menh de gian tiep, kho hon muc co ban."
scene_012,"The plan sounded simple at first, but it turned out to be far more complicated.",3.0,"problem-solving,planning","past_simple,comparison",B1,medium,medium,"Tu vung va y nghia truu tuong hon, cau dai hon."
scene_013,"Had I known the consequences, I would have acted differently.",3.2,"regret,decision","third_conditional,inversion",B2,low,hard,"Dao ngu dieu kien va cau truc conditional nang."
scene_014,"The proposal was rejected despite its apparent practicality.",2.7,"work,decision","passive,complex_noun_phrase",B2,low,hard,"Tu vung hoc thuat va bi dong lam tang do kho."
scene_015,"He tends to mask his frustration with dry, sarcastic humor.",3.1,"emotion,personality","present_simple,complex_vocab",B2,medium,hard,"Cum tu truu tuong va sac thai nghia kho."
scene_016,"What we are witnessing is merely the beginning of a much larger crisis.",3.0,"news,warning","present_continuous,relative_clause",B2,medium,hard,"Tu vung hoc thuat, ngu nghia truu tuong."
scene_017,"You gotta be kidding me, this is messed up beyond repair.",4.1,"emotion,conflict","slang,spoken_english",B2,high,hard,"Nhieu slang, noi nhanh, co tieng noi tu nhien kho nghe."
scene_018,"I cannot fathom why they would deliberately withhold that information.",3.3,"investigation,emotion","modal,complex_clause",C1,medium,hard,"Tu vung hiem nhu fathom, deliberately, withhold."
scene_019,"By the time we arrived, the suspects had already fled the premises.",3.2,"crime,investigation","past_perfect,past_simple",B2,medium,hard,"Qua khu hoan thanh va tu vung theo ngu canh dieu tra."
scene_020,"Not only was the data incomplete, but the methodology itself was fundamentally flawed.",3.0,"analysis,critique","inversion,passive,complex_vocab",C1,low,hard,"Dao ngu, bi dong, tu vung hoc thuat va phe binh."
